q_id,web_id,rrf_score
1,372,0.6813623566049484
1,1567,0.617991845236015
1,1098,0.4440447280794668
1,455,0.4098360655737705
1,1249,0.38006593706365427
1,454,0.3699873923039649
1,1157,0.3690421966233715
1,1880,0.36753688530538176
1,16,0.35322743011372465
1,108,0.3357061219553884
1,114,0.30456850560402476
1,368,0.30047872384012003
1,1113,0.2497311605901218
1,467,0.23619884301149818
1,1721,0.23583809625322252
1,1617,0.22162504623264737
1,777,0.2168992840989577
1,836,0.20472493541027065
1,458,0.20220238027377094
1,463,0.20147540275067632
2,368,0.8123325910226055
2,1157,0.4952798884951941
2,372,0.4673345888881124
2,363,0.3712222783113157
2,1098,0.3409766580193606
2,374,0.2932067424116126
2,862,0.20751913232718652
2,1557,0.19780301553445245
2,1249,0.19433736806478555
2,623,0.18045870972630437
2,410,0.17696633411391532
2,1721,0.17476432025912528
2,471,0.1691875636683549
2,132,0.16259830849297702
2,1202,0.16019015502313716
2,1570,0.15960845920878491
2,452,0.13582835839397153
2,1263,0.13563256676681054
2,135,0.1353868417294088
2,1064,0.13165831888730117
3,1165,0.4098360655737705
3,1915,0.4098360655737705
3,1677,0.35621112824925927
3,1147,0.35384251892878077
3,383,0.3538094479308975
3,317,0.34185023482248245
3,713,0.3333680052125872
3,1121,0.3303874575724844
3,1249,0.29339700969541077
3,1655,0.2794067567019296
3,386,0.279393621912895
3,116,0.27249760975165366
3,1143,0.2708825847014368
3,376,0.2564176092062955
3,60,0.23054026051315085
3,1166,0.22589276601138897
3,678,0.22311134664656787
3,382,0.21675945470090935
3,1136,0.21021606723355646
3,717,0.20461991679365496
4,1776,0.4098360655737705
4,1915,0.4098360655737705
4,1757,0.40967741935483876
4,1113,0.3078143237001123
4,1077,0.3044588762845349
4,618,0.258773448248781
4,1286,0.2548111795076957
4,478,0.22694010941940937
4,1249,0.2011898434457082
4,1038,0.19805702005405246
4,1297,0.19455638044540247
4,1021,0.18368288567654073
4,383,0.182928759126616
4,1014,0.1761197148321199
4,1121,0.1755400888246889
4,325,0.17464498743953827
4,1043,0.1656545940279238
4,1102,0.16077256023538766
4,1087,0.15344454971784793
4,1924,0.14852840458112096
5,173,0.4098360655737705
5,1561,0.4098360655737705
5,163,0.39714778389664257
5,937,0.3816989006227688
5,172,0.3738644536981761
5,1560,0.37020498160535564
5,935,0.36257612786589266
5,1041,0.34369074080373807
5,928,0.33986307250471626
5,1651,0.32473936998847375
5,1025,0.3181371263359388
5,1525,0.30232348678416293
5,1340,0.301674181546471
5,200,0.3010851502309559
5,813,0.29861251634651326
5,923,0.29413168995474775
5,1526,0.26789281905426804
5,1310,0.25111825368801094
5,203,0.24239664182655474
5,620,0.23622103241941236
6,1077,0.4098360655737705
6,1915,0.4098360655737705
6,1933,0.402650388234238
6,1752,0.3853331946855173
6,1017,0.37092814926334866
6,1816,0.3707727777458433
6,1817,0.37062854697661246
6,1813,0.34401794529386104
6,1814,0.34388226008354894
6,1815,0.33069840853932614
6,1777,0.32721627053464425
6,1765,0.32709204693215976
6,265,0.3073192654315397
6,1254,0.29725071902828587
6,1818,0.2889559316267136
6,1820,0.2888478235186055
6,1819,0.2887425603607108
6,1776,0.27486522218054343
6,1757,0.2747653220806433
6,1821,0.2675887634063299
7,1178,0.5530770465719589
7,1088,0.4098360655737705
7,1179,0.31335738795743767
7,368,0.29732165964478124
7,615,0.22865457720237262
7,1158,0.2073039785729581
7,1916,0.2053426719765813
7,1185,0.18785334810880577
7,1180,0.17984546515850267
7,1132,0.15878359396433908
7,750,0.15286059822446676
7,735,0.15146782607863418
7,771,0.14751843310488177
7,1637,0.14411509536724337
7,1030,0.13493028319984127
7,1169,0.13261855278505275
7,1906,0.13046258983193193
7,1380,0.12730650422652814
7,1738,0.12430928299288832
7,1909,0.11725066465317771
8,1065,0.5546007599713624
8,1157,0.45954047861870817
8,368,0.4492207776932685
8,1674,0.40473940942464365
8,268,0.3554922033778692
8,812,0.3374710756934936
8,1673,0.3367805474215412
8,247,0.28407364994779943
8,1634,0.25929471959204964
8,230,0.23468685334871756
8,248,0.22442660319119315
8,1000,0.22254002374392504
8,1633,0.22124802937186672
8,241,0.21996327110811043
8,904,0.21580623176678354
8,1685,0.2112329689582
8,1683,0.2010491346873027
8,1677,0.18856052935117087
8,1186,0.1874014376718378
8,223,0.18669186900299595
9,402,0.4098360655737705
9,886,0.4098360655737705
9,614,0.32590183132414235
9,1239,0.2950678995274942
9,1770,0.27800771512018396
9,1537,0.26456927466595753
9,1932,0.25303054925519886
9,935,0.25142370709690065
9,200,0.24822788252186193
9,678,0.22081608045197096
9,1088,0.21277769499271806
9,1053,0.2113668237945045
9,203,0.20835394209235264
9,1259,0.20448598863009637
9,1253,0.18194847043574938
9,199,0.1670300581394712
9,549,0.1578361181759291
9,163,0.15373325859932768
9,349,0.15214673713611684
9,377,0.15011684133323153
10,116,0.5496250728534058
10,455,0.4098360655737705
10,1915,0.4098360655737705
10,1306,0.3887402453066266
10,1924,0.35959856339534496
10,462,0.3547336269580608
10,465,0.3499488167984013
10,1910,0.33909057985094654
10,454,0.3343576513657241
10,16,0.31730458371106085
10,1907,0.2741303768669414
10,1309,0.2190138113593761
10,257,0.19132438700133592
10,478,0.1835134785593172
10,114,0.1813402983799918
10,1246,0.17243579647064183
10,1934,0.16730527118471816
10,439,0.16712974835676053
10,1249,0.16511730389825238
10,451,0.16319077346438546
11,1900,0.7555107880680971
11,1543,0.6853680135526414
11,1915,0.5525962025625345
11,1147,0.523484595712043
11,1243,0.4098360655737705
11,1277,0.4098360655737705
11,1655,0.4053105989401555
11,868,0.38907996862870803
11,1748,0.3809088511112538
11,1744,0.3636522931679017
11,1599,0.3602725200526505
11,18,0.35564888399186045
11,697,0.34269330171166823
11,1131,0.33474488306052513
11,1638,0.3312615105768371
11,890,0.32862242092267263
11,1045,0.3248251700789985
11,112,0.3205851470495391
11,618,0.30323884651474475
11,389,0.2950114701726837
12,1192,0.8122063209365452
12,1611,0.6092017888917242
12,109,0.5231668503787579
12,783,0.42060631680479876
12,1523,0.37110017639179566
12,1662,0.36469711994252524
12,1567,0.3586979183981401
12,114,0.3508016548001378
12,1896,0.3130689609406925
12,124,0.2955278276633707
12,451,0.2810739044036276
12,1277,0.2806947706382227
12,16,0.27693841471014496
12,292,0.25996143415868916
12,1488,0.2431720924112732
12,116,0.2257656388272553
12,1001,0.21819243925355714
12,296,0.19816271844356878
12,1713,0.1978903941218119
12,975,0.19588242915056364
13,116,0.51155605193082
13,1915,0.4098360655737705
13,927,0.401476356712968
13,455,0.3717268060371241
13,1306,0.3259882469276489
13,1917,0.24753476329316362
13,1064,0.22925273039293345
13,675,0.2111831398647631
13,1587,0.20146058344371348
13,1922,0.1897427706437443
13,1897,0.18959853987451356
13,1543,0.18228474053835336
13,203,0.17682736558479625
13,1900,0.17162484141731393
13,172,0.17162099717089774
13,1750,0.14554363985733532
13,163,0.1453194119286748
13,173,0.13870437394194704
13,962,0.1385153222344224
13,1062,0.1313255203670755
14,372,0.620845323127566
14,455,0.4098360655737705
14,1157,0.40608512389037293
14,368,0.3587241123631704
14,454,0.3242509668253122
14,1113,0.2676757612770966
14,1910,0.23564390419112646
14,1557,0.23178005605852936
14,458,0.22274834383465847
14,1191,0.21823718140054257
14,1186,0.21601343720288277
14,1617,0.21030151817480722
14,1724,0.20854025744239685
14,1125,0.20214793446853807
14,257,0.19607443888603326
14,878,0.19024155121819877
14,756,0.1629874939883959
14,363,0.1580560754527518
14,1066,0.15751048920034
14,292,0.15405480286366718
15,1938,0.41951348492860924
15,1317,0.22795237968769547
15,852,0.17993390086301111
15,1246,0.17777233025820044
15,1063,0.16973009079982587
15,1249,0.1556369497895557
15,777,0.15333213316462363
15,1428,0.1530215366138128
15,1204,0.1352413413772851
15,650,0.13218420515427248
15,696,0.11233571840458145
15,1039,0.10965026896148017
15,24,0.09976513783061795
15,86,0.0957437545867155
15,25,0.09561501193929024
15,695,0.09382185306043325
